"sub","trial","decision","reward","effort","agent","success","grupo"
"0129",1,1,1,1,0,0,0
"0129",2,1,2,1,0,0,0
"0129",3,1,3,1,0,0,0
"0129",4,1,1,2,0,0,0
"0129",5,1,2,2,0,0,0
"0129",6,1,3,2,0,0,0
"0129",7,0,1,3,0,0,0
"0129",8,1,2,3,0,0,0
"0129",9,1,3,3,0,0,0
"0129",10,0,1,4,0,0,0
"0129",11,1,2,4,0,0,0
"0129",12,1,3,4,0,0,0
"0129",13,1,1,1,0,0,0
"0129",14,1,2,1,0,0,0
"0129",15,1,3,1,0,0,0
"0129",16,1,1,2,0,0,0
"0129",17,1,2,2,0,0,0
"0129",18,1,3,2,0,0,0
"0129",19,1,1,3,0,0,0
"0129",20,1,2,3,0,1,0
"0129",21,1,3,3,0,0,0
"0129",22,1,1,4,0,1,0
"0129",23,1,2,4,0,1,0
"0129",24,1,3,4,0,0,0
"0129",25,0,1,1,1,0,0
"0129",26,1,2,1,1,0,0
"0129",27,0,3,1,1,0,0
"0129",28,0,1,2,1,0,0
"0129",29,0,2,2,1,0,0
"0129",30,0,3,2,1,0,0
"0129",31,0,1,3,1,0,0
"0129",32,2,2,3,1,0,0
"0129",33,0,3,3,1,0,0
"0129",34,2,1,4,1,0,0
"0129",35,2,2,4,1,0,0
"0129",36,0,3,4,1,0,0
"0129",37,2,1,1,1,0,0
"0129",38,0,2,1,1,0,0
"0129",39,2,3,1,1,0,0
"0129",40,2,1,2,1,0,0
"0129",41,2,2,2,1,0,0
"0129",42,2,3,2,1,0,0
"0129",43,2,1,3,1,0,0
"0129",44,2,2,3,1,0,0
"0129",45,2,3,3,1,0,0
"0129",46,2,1,4,1,0,0
"0129",47,2,2,4,1,0,0
"0129",48,2,3,4,1,0,0
"0155",1,1,1,1,0,0,0
"0155",2,1,2,1,0,0,0
"0155",3,1,3,1,0,0,0
"0155",4,1,1,2,0,0,0
"0155",5,1,2,2,0,0,0
"0155",6,1,3,2,0,0,0
"0155",7,1,1,3,0,0,0
"0155",8,1,2,3,0,0,0
"0155",9,1,3,3,0,0,0
"0155",10,1,1,4,0,0,0
"0155",11,1,2,4,0,0,0
"0155",12,1,3,4,0,0,0
"0155",13,1,1,1,0,0,0
"0155",14,1,2,1,0,0,0
"0155",15,1,3,1,0,0,0
