"","ID_check","trail","Choise","effort","reward","condition","GRUPO","X49_attention_check","trabajo_self","trabajo_other","zeros_SELF","zeros_OTHER","zeros_TOTAL","prop_omitidas_SELF","prop_omitidas_OTHER","prop_omitidas_TOTAL"
"1","1304",1,1,1,1,"0","1",4,83.33,83.33,12.5,0,6.25,3,0,3
"2","1304",2,1,1,2,"0","1",4,83.33,83.33,12.5,0,6.25,3,0,3
"3","1304",3,1,1,3,"0","1",4,83.33,83.33,12.5,0,6.25,3,0,3
"4","1304",4,1,2,1,"0","1",4,83.33,83.33,12.5,0,6.25,3,0,3
"5","1304",5,1,2,2,"0","1",4,83.33,83.33,12.5,0,6.25,3,0,3
"6","1304",6,0,2,3,"0","1",4,83.33,83.33,12.5,0,6.25,3,0,3
"7","1304",7,1,3,1,"0","1",4,83.33,83.33,12.5,0,6.25,3,0,3
"8","1304",8,2,3,2,"0","1",4,83.33,83.33,12.5,0,6.25,3,0,3
"9","1304",9,1,3,3,"0","1",4,83.33,83.33,12.5,0,6.25,3,0,3
"10","1304",10,1,4,1,"0","1",4,83.33,83.33,12.5,0,6.25,3,0,3
"11","1304",11,1,4,2,"0","1",4,83.33,83.33,12.5,0,6.25,3,0,3
"12","1304",12,1,4,3,"0","1",4,83.33,83.33,12.5,0,6.25,3,0,3
"13","1304",13,0,1,1,"1","1",4,83.33,83.33,12.5,0,6.25,3,0,3
"14","1304",14,1,1,2,"1","1",4,83.33,83.33,12.5,0,6.25,3,0,3
"15","1304",15,1,1,3,"1","1",4,83.33,83.33,12.5,0,6.25,3,0,3
"16","1304",16,1,2,1,"1","1",4,83.33,83.33,12.5,0,6.25,3,0,3
"17","1304",17,0,2,2,"1","1",4,83.33,83.33,12.5,0,6.25,3,0,3
"18","1304",18,1,2,3,"1","1",4,83.33,83.33,12.5,0,6.25,3,0,3
"19","1304",19,1,3,1,"1","1",4,83.33,83.33,12.5,0,6.25,3,0,3
"20","1304",20,1,3,2,"1","1",4,83.33,83.33,12.5,0,6.25,3,0,3
"21","1304",21,1,3,3,"1","1",4,83.33,83.33,12.5,0,6.25,3,0,3
"22","1304",22,1,4,1,"1","1",4,83.33,83.33,12.5,0,6.25,3,0,3
"23","1304",23,1,4,2,"1","1",4,83.33,83.33,12.5,0,6.25,3,0,3
"24","1304",24,1,4,3,"1","1",4,83.33,83.33,12.5,0,6.25,3,0,3
"25","1304",25,1,1,1,"0","1",4,83.33,83.33,12.5,0,6.25,3,0,3
"26","1304",26,1,1,2,"0","1",4,83.33,83.33,12.5,0,6.25,3,0,3
"27","1304",27,2,1,3,"0","1",4,83.33,83.33,12.5,0,6.25,3,0,3
"28","1304",28,1,2,1,"0","1",4,83.33,83.33,12.5,0,6.25,3,0,3
"29","1304",29,1,2,2,"0","1",4,83.33,83.33,12.5,0,6.25,3,0,3
"30","1304",30,1,2,3,"0","1",4,83.33,83.33,12.5,0,6.25,3,0,3
"31","1304",31,1,3,1,"0","1",4,83.33,83.33,12.5,0,6.25,3,0,3
"32","1304",32,2,3,2,"0","1",4,83.33,83.33,12.5,0,6.25,3,0,3
"33","1304",33,1,3,3,"0","1",4,83.33,83.33,12.5,0,6.25,3,0,3
"34","1304",34,1,4,1,"0","1",4,83.33,83.33,12.5,0,6.25,3,0,3
"35","1304",35,1,4,2,"0","1",4,83.33,83.33,12.5,0,6.25,3,0,3
"36","1304",36,1,4,3,"0","1",4,83.33,83.33,12.5,0,6.25,3,0,3
"37","1304",37,1,1,1,"1","1",4,83.33,83.33,12.5,0,6.25,3,0,3
"38","1304",38,0,1,2,"1","1",4,83.33,83.33,12.5,0,6.25,3,0,3
"39","1304",39,1,1,3,"1","1",4,83.33,83.33,12.5,0,6.25,3,0,3
"40","1304",40,1,2,1,"1","1",4,83.33,83.33,12.5,0,6.25,3,0,3
"41","1304",41,1,2,2,"1","1",4,83.33,83.33,12.5,0,6.25,3,0,3
