sub,decision,reward,effort,agent,Interoception
102,0,4,6,2,-0.000939063
102,0,2,4,1,-0.000939063
102,1,6,2,2,-0.000939063
102,1,4,4,1,-0.000939063
102,1,6,2,2,-0.000939063
102,0,3,5,1,-0.000939063
102,1,3,2,2,-0.000939063
102,0,4,5,2,-0.000939063
102,0,5,5,2,-0.000939063
102,0,4,6,2,-0.000939063
102,1,6,3,1,-0.000939063
102,0,3,5,2,-0.000939063
102,0,5,6,1,-0.000939063
102,1,6,3,1,-0.000939063
102,1,5,6,1,-0.000939063
102,1,5,4,2,-0.000939063
102,1,5,2,1,-0.000939063
102,1,5,6,1,-0.000939063
102,1,3,3,1,-0.000939063
102,0,3,6,2,-0.000939063
102,0,3,4,2,-0.000939063
102,0,5,6,2,-0.000939063
102,1,4,2,1,-0.000939063
102,1,4,2,2,-0.000939063
102,1,3,4,2,-0.000939063
102,1,5,4,1,-0.000939063
102,0,2,4,2,-0.000939063
102,1,3,4,1,-0.000939063
102,1,2,3,2,-0.000939063
102,1,6,4,1,-0.000939063
102,1,5,2,2,-0.000939063
102,0,2,6,1,-0.000939063
102,1,4,4,1,-0.000939063
102,0,4,5,2,-0.000939063
102,1,6,5,1,-0.000939063
102,1,5,4,1,-0.000939063
102,0,6,6,1,-0.000939063
102,0,2,5,1,-0.000939063
102,1,5,3,2,-0.000939063
102,1,3,6,1,-0.000939063
102,1,3,4,2,-0.000939063
102,0,4,5,2,-0.000939063
102,1,6,6,1,-0.000939063
102,0,2,6,1,-0.000939063
102,1,6,3,1,-0.000939063
102,1,6,2,1,-0.000939063
102,0,6,6,2,-0.000939063
102,1,3,3,1,-0.000939063
102,1,5,3,2,-0.000939063
102,1,4,4,2,-0.000939063
102,0,3,3,2,-0.000939063
102,1,3,2,1,-0.000939063
102,1,2,3,1,-0.000939063
102,1,6,2,1,-0.000939063
102,1,5,5,1,-0.000939063
102,0,2,4,2,-0.000939063
102,0,3,6,1,-0.000939063
102,0,5,5,2,-0.000939063
102,1,4,6,1,-0.000939063
102,0,2,4,2,-0.000939063
102,0,2,5,2,-0.000939063
102,1,5,3,2,-0.000939063
102,0,4,4,2,-0.000939063
102,1,3,3,2,-0.000939063
102,1,6,4,1,-0.000939063
102,0,6,5,2,-0.000939063
102,1,2,2,1,-0.000939063
102,0,5,6,2,-0.000939063
102,1,5,4,2,-0.000939063
102,0,3,6,1,-0.000939063
102,1,5,2,2,-0.000939063
102,1,4,3,2,-0.000939063
102,1,6,3,2,-0.000939063
102,0,2,2,2,-0.000939063
102,0,4,6,2,-0.000939063
102,0,2,5,1,-0.000939063
102,1,5,2,1,-0.000939063
102,1,3,2,1,-0.000939063
102,1,6,6,1,-0.000939063
102,0,2,5,2,-0.000939063
102,1,2,3,1,-0.000939063
102,0,2,6,2,-0.000939063
102,1,4,5,1,-0.000939063
102,1,4,3,1,-0.000939063
102,1,5,4,2,-0.000939063
102,1,4,5,1,-0.000939063
102,0,3,6,2,-0.000939063
102,0,3,2,2,-0.000939063
102,1,5,4,1,-0.000939063
102,1,2,3,1,-0.000939063
102,1,6,5,1,-0.000939063
102,0,3,5,2,-0.000939063
102,0,5,6,2,-0.000939063
102,1,5,5,1,-0.000939063
102,0,2,4,1,-0.000939063
102,0,6,6,2,-0.000939063
102,1,4,2,1,-0.000939063
102,1,2,3,2,-0.000939063
102,0,3,5,2,-0.000939063
102,1,2,2,2,-0.000939063
102,0,2,6,2,-0.000939063
102,0,6,5,2,-0.000939063
102,1,3,4,1,-0.000939063
102,1,6,3,2,-0.000939063
102,1,2,2,2,-0.000939063
102,0,2,6,2,-0.000939063
102,1,5,2,1,-0.000939063
102,0,5,5,2,-0.000939063
