sub,decision,force,forcenorm,reward,effort,agent,success
103,1,719.9906921,0.666217065,4,6,2,0
103,1,523.9100647,0.484781025,2,4,1,1
103,1,599.2227173,0.554468835,4,4,1,1
103,1,530.6916809,0.491056146,6,2,2,1
103,1,732.1665955,0.677483592,3,5,1,1
103,1,503.3851624,0.465789057,3,2,2,1
103,1,702.1228027,0.649683667,4,5,2,0
103,1,663.8105774,0.61423285,5,5,2,1
103,1,698.7919617,0.646601595,4,6,2,0
103,1,626.7190552,0.579911566,6,3,1,1
103,1,697.4067688,0.645319858,3,5,2,0
103,1,833.5411072,0.771286791,5,6,1,1
103,1,450.5683899,0.416916988,6,3,1,0
103,1,860.7347107,0.796449398,5,6,1,1
103,1,680.5110168,0.629685991,5,4,2,1
103,1,512.7586365,0.474462459,5,2,1,1
103,1,799.4381714,0.739730886,5,6,1,1
103,1,499.8783875,0.462544191,3,3,1,1
103,1,793.2051086,0.733963349,3,6,2,0
103,0,113.3345032,0.104869939,3,4,2,1
103,0,97.59796143,0.090308706,5,6,2,1
103,1,452.8886414,0.419063948,4,2,1,1
103,0,89.97650146,0.083256466,3,4,2,1
103,1,454.9235535,0.420946879,5,4,1,0
103,0,122.7020264,0.113537834,2,4,2,1
103,1,354.7897339,0.32829171,3,4,1,0
103,0,250.3295898,0.231633334,2,3,2,1
103,1,712.8265381,0.659587977,6,4,1,1
103,0,206.4085388,0.190992595,5,2,2,1
103,1,944.1113281,0.873598903,2,6,1,1
103,1,763.8035583,0.706757699,4,4,1,1
103,0,144.2298889,0.133457855,4,5,2,1
103,1,541.3630676,0.500930523,6,5,1,1
103,1,723.6975098,0.669647034,5,4,1,1
103,1,885.1753235,0.819064625,6,6,1,1
103,0,445.431366,0.41216363,2,5,1,1
103,0,174.8730469,0.161812381,5,3,2,1
103,1,787.3602295,0.728555004,3,6,1,1
103,1,748.8389587,0.692910754,3,4,2,1
103,1,863.860321,0.799341567,4,5,2,0
103,1,642.3661804,0.594390061,6,6,1,0
103,0,298.3210754,0.276040501,2,6,1,1
103,1,555.3146362,0.513840097,6,3,1,1
103,1,585.9197998,0.542159467,6,2,1,1
103,0,361.5367126,0.33453478,6,6,2,1
103,1,466.8205261,0.431955308,3,3,1,1
103,0,119.0103149,0.110121844,5,3,2,1
103,1,414.9105835,0.38392234,4,4,2,0
103,1,696.2312317,0.644232117,3,3,2,1
103,1,634.0364075,0.58668241,3,2,1,1
103,1,733.1280518,0.678373241,2,3,1,1
103,1,640.2310181,0.592414367,6,2,1,1
103,1,913.0447388,0.84485257,5,5,1,0
103,0,506.5875244,0.468752246,2,4,2,1
103,1,807.7778625,0.747447714,3,6,1,0
103,0,399.6893311,0.369837911,5,5,2,1
103,1,959.2997742,0.887652976,4,6,1,1
103,0,222.2886658,0.20568669,2,4,2,1
103,0,211.4685059,0.195674651,2,5,2,1
103,1,510.2632141,0.472153411,5,3,2,1
103,0,273.522644,0.253094179,4,4,2,1
103,0,229.949646,0.212775498,3,3,2,1
103,1,561.1593628,0.519248301,6,4,1,0
103,0,444.1064453,0.410937663,6,5,2,1
103,1,623.8851929,0.577289355,2,2,1,1
103,0,323.5307312,0.299367334,5,6,2,1
103,1,785.4742432,0.726809875,5,4,2,1
103,1,1080.714874,1,3,6,1,1
103,1,719.8338318,0.66607192,5,2,2,1
103,1,803.3158875,0.743318989,4,3,2,1
103,1,811.8476868,0.751213577,6,3,2,1
103,1,755.4043579,0.698985806,2,2,2,1
103,1,942.1153259,0.871751975,4,6,2,0
103,0,282.1946716,0.261118523,2,5,1,1
