"","sub","HelpSelf","HelpOther","SelfRew1","SelfRew2","SelfRew3","OtherRew1","OtherRew2","OtherRew3","SelfEff1","SelfEff2","SelfEff3","SelfEff4","OtherEff1","OtherEff2","OtherEff3","OtherEff4","WorkSelf","WorkOther"
"1","0129",0.9167,0.0417,0.75,1,1,0,0.125,0,1,1,0.8333,0.8333,0.1667,0,0,0,0.9167,0.1
"2","0155",1,0.875,1,1,1,1,0.875,0.75,1,1,1,1,1,0.8333,0.8333,0.8333,1,0.913
"3","0332",1,0.625,1,1,1,0.625,0.625,0.625,1,1,1,1,0.6667,0.6667,0.3333,0.8333,1,0.7143
"4","0548",0.9583,0.9583,1,0.875,1,0.875,1,1,0.8333,1,1,1,0.8333,1,1,1,1,1
"5","0849",0.875,0.9583,0.875,0.75,1,1,0.875,1,1,1,0.8333,0.6667,1,0.8333,1,1,1,1
"6","0893",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"7","0974",0.5417,0.5833,0.375,0.625,0.625,0.5,0.5,0.75,0.8333,0.8333,0.3333,0.1667,0.8333,0.8333,0.5,0.1667,0.6842,0.6364
"8","1019",1,0.0417,1,1,1,0,0.125,0,1,1,1,1,0,0,0.1667,0,1,0.0455
"9","1083",0.75,0.6667,0.75,0.625,0.875,0.75,0.625,0.625,1,1,0.6667,0.3333,1,1,0.6667,0,0.75,0.7273
"10","1126",0.875,0.7083,0.75,0.875,1,0.75,0.75,0.625,0.6667,1,0.8333,1,0.8333,0.6667,0.6667,0.6667,1,0.9444
"11","1252",0.8333,0.8333,0.875,0.875,0.75,0.875,0.875,0.75,0.8333,0.8333,1,0.6667,0.8333,0.8333,1,0.6667,0.8696,0.8696
"12","1363",0.6667,0.625,0.75,0.625,0.625,0.625,0.5,0.75,0.6667,0.6667,0.6667,0.6667,0.8333,0.8333,0.3333,0.5,0.6667,0.75
"13","1388",0.875,0.125,1,0.625,1,0.25,0,0.125,1,0.8333,0.6667,1,0,0.3333,0,0.1667,1,0.375
"14","1423",0.9583,0.9583,1,1,0.875,0.875,1,1,1,1,1,0.8333,1,0.8333,1,1,1,0.9583
"15","1499",0.875,0.4583,0.875,0.75,1,0.375,0.5,0.5,0.8333,0.8333,0.8333,1,0.8333,0,0.5,0.5,0.913,0.5
"16","1516",0.625,0.4583,0.5,0.75,0.625,0.5,0.5,0.375,0.6667,0.6667,0.8333,0.3333,0.5,0.3333,0.5,0.5,0.8824,0.55
"17","1817",0.9583,0.4583,1,0.875,1,0.5,0.375,0.5,1,1,0.8333,1,0.6667,0.5,0.5,0.1667,1,0.9167
