"sub","SelfRew1","SelfRew2","SelfRew3","OtherRew1","OtherRew2","OtherRew3","SelfEff1","SelfEff2","SelfEff3","SelfEff4","OtherEff1","OtherEff2","OtherEff3","OtherEff4","WorkSelf","WorkOther","trabajo_self","trabajo_other","trabajo_total","zeros_SELF","zeros_OTHER","zeros_TOTAL","trabajo_self_ajustado","trabajo_other_ajustado","trabajo_total_ajustado","tasa_fallo_self","tasa_fallo_other","tasa_fallo_total"
"0129",0.75,1,1,0,0.3333,0,1,1,0.8333,0.8333,0.25,0,0,0,0.9167,0.1,91.67,4.17,47.92,0,58.33,29.17,91.67,10,67.65,13.64,0,13.04
"0155",1,1,1,1,0.875,0.8571,1,1,1,1,1,1,0.8333,0.8333,1,0.913,100,87.5,93.75,0,4.17,2.08,100,91.3,95.74,0,4.76,2.22
"0332",1,1,1,0.625,0.7143,0.8333,1,1,1,1,0.6667,0.8,0.4,1,1,0.7143,100,62.5,81.25,0,12.5,6.25,100,71.43,86.67,4.17,13.33,7.69
"0548",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,95.83,95.83,95.83,4.17,4.17,4.17,100,100,100,13.04,8.7,10.87
"0849",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,87.5,95.83,91.67,12.5,4.17,8.33,100,100,100,4.76,4.35,4.55
"0893",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,100,100,0,0,0,100,100,100,0,0,0
"0974",0.4286,0.7143,1,0.5,0.5714,0.8571,0.8333,0.8333,0.6667,0.25,1,1,0.5,0.1667,0.6842,0.6364,54.17,58.33,56.25,20.83,8.33,14.58,68.42,63.64,65.85,23.08,0,11.11
"1019",1,1,1,0,0.1667,0,1,1,1,1,0,0,0.1667,0,1,0.0455,100,4.17,52.08,0,8.33,4.17,100,4.55,54.35,4.17,0,4
"1083",0.75,0.625,0.875,0.8571,0.7143,0.625,1,1,0.6667,0.3333,1,1,0.8,0,0.75,0.7273,75,66.67,70.83,0,8.33,4.17,75,72.73,73.91,16.67,0,8.82
"1126",1,1,1,1,1,0.8333,1,1,1,1,1,0.8,1,1,1,0.9444,87.5,70.83,79.17,12.5,25,18.75,100,94.44,97.44,28.57,0,15.79
"1252",0.875,1,0.75,1,0.875,0.75,1,0.8333,1,0.6667,1,0.8333,1,0.6667,0.8696,0.8696,83.33,83.33,83.33,4.17,4.17,4.17,86.96,86.96,86.96,15,0,7.5
"1363",0.75,0.625,0.625,0.7143,0.6667,0.8571,0.6667,0.6667,0.6667,0.6667,0.8333,0.8333,0.5,0.75,0.6667,0.75,66.67,62.5,64.58,0,16.67,8.33,66.67,75,70.45,12.5,0,6.45
"1388",1,1,1,1,0,0.3333,1,1,1,1,0,1,0,0.25,1,0.375,87.5,12.5,50,12.5,66.67,39.58,100,37.5,82.76,33.33,33.33,33.33
"1423",1,1,1,0.875,1,1,1,1,1,1,1,0.8333,1,1,1,0.9583,95.83,95.83,95.83,4.17,0,2.08,100,95.83,97.87,0,4.35,2.17
"1499",0.875,0.8571,1,0.4286,0.5714,0.5,1,0.8333,0.8333,1,0.8333,0,0.5,0.5,0.913,0.5,87.5,45.83,66.67,4.17,8.33,6.25,91.3,50,71.11,9.52,0,6.25
"1516",0.8,1,0.8333,0.5714,0.6667,0.4286,1,0.8,1,0.6667,0.5,0.5,0.6,0.6,0.8824,0.55,62.5,45.83,54.17,29.17,16.67,22.92,88.24,55,70.27,6.67,27.27,15.38
"1817",1,1,1,0.8,1,1,1,1,1,1,1,0.75,1,1,1,0.9167,95.83,45.83,70.83,4.17,50,27.08,100,91.67,97.14,13.04,9.09,11.76
"1867",0.2857,0.375,0.375,0.75,0.75,0.375,0.5,0.1667,0.6,0.1667,0.6667,0.6667,0.8333,0.3333,0.3478,0.625,33.33,62.5,47.92,4.17,0,2.08,34.78,62.5,48.94,0,6.67,4.35
