"","ID_check","grupo","Comp2_Q1","Comp2_Q2","resultados_Comp","X49_attention_check","condicion_SELF_01","reward_2_01","dificultad_easy_01","esfuerzo_50_01","X1_fail_feedback_timing_Page.Submit","condicion_SELF_02","reward_6_02","dificultad_easy_02","esfuerzo_50_02","X2_fail_feedback_timing_Page.Submit","condicion_SELF_03","reward_10_03","dificultad_easy_03","esfuerzo_50_03","X3_fail_feedback_timing_Page.Submit","condicion_SELF_04","reward_2_04","dificultad_easy_04","esfuerzo_65_04","X4_fail_feedback_timing_Page.Submit","condicion_SELF_05","reward_6_05","dificultad_easy_05","esfuerzo_65_05","X5_fail_feedback_timing_Page.Submit","condicion_SELF_06","reward_10_06","dificultad_easy_06","esfuerzo_65_06","X6_fail_feedback_timing_Page.Submit","condicion_SELF_07","reward_2_07","dificultad_hard_07","esfuerzo_80_07","X7_fail_feedback_timing_Page.Submit","condicion_SELF_08","reward_6_08","dificultad_hard_08","esfuerzo_80_08","X8_fail_feedback_timing_Page.Submit","condicion_SELF_09","reward_10_09","dificultad_hard_09","esfuerzo_80_09","X9_fail_feedback_timing_Page.Submit","condicion_SELF_10","reward_2_10","dificultad_hard_10","esfuerzo_95_10","reward_10_12","reward_10_15","reward_10_18","reward_10_21","reward_10_24","reward_10_27","reward_10_30","reward_10_33","reward_10_36","reward_10_39","reward_10_42","reward_10_45","reward_10_48","X10_fail_feedback_timing_Page.Submit","condicion_SELF_11","reward_6_11","dificultad_hard_11","esfuerzo_95_11","X11_fail_feedback_timing_Page.Submit","condicion_SELF_12","dificultad_hard_12","esfuerzo_95_12","X12_fail_feedback_timing_Page.Submit","condicion_SELF_13","reward_2_13","dificultad_easy_13","esfuerzo_50_13","X13_fail_feedback_timing_Page.Submit","condicion_SELF_14","reward_6_14","dificultad_easy_14","esfuerzo_50_14","X14_fail_feedback_timing_Page.Submit","condicion_SELF_15","dificultad_easy_15","esfuerzo_50_15","X15_fail_feedback_timing_Page.Submit","condicion_SELF_16","reward_2_16","dificultad_easy_16","esfuerzo_65_16","X16_fail_feedback_timing_Page.Submit","condicion_SELF_17","reward_6_17","dificultad_easy_17","esfuerzo_65_17","X17_fail_feedback_timing_Page.Submit","condicion_SELF_18","dificultad_easy_18","esfuerzo_65_18","X18_fail_feedback_timing_Page.Submit","condicion_SELF_19","reward_2_19","dificultad_hard_19","esfuerzo_80_19","X19_fail_feedback_timing_Page.Submit","condicion_SELF_20","reward_6_20","dificultad_hard_20","esfuerzo_80_20","X20_fail_feedback_timing_Page.Submit","condicion_SELF_21","dificultad_hard_21","esfuerzo_80_21","X21_fail_feedback_timing_Page.Submit","condicion_SELF_22","reward_2_22","dificultad_hard_22","esfuerzo_95_22","X22_fail_feedback_timing_Page.Submit","condicion_SELF_23","reward_6_23","dificultad_hard_23","esfuerzo_95_23","X23_fail_feedback_timing_Page.Submit","condicion_SELF_24","dificultad_hard_24","esfuerzo_95_24","X24_fail_feedback_timing_Page.Submit","condicion_OTHER_25","reward_2_25","dificultad_easy_25","esfuerzo_50_25","X25_fail_feedback_timing_Page.Submit","condicion_OTHER_26","reward_6_26","dificultad_easy_26","esfuerzo_50_26","X26_fail_feedback_timing_Page.Submit","condicion_OTHER_27","dificultad_easy_27","esfuerzo_50_27","X27_fail_feedback_timing_Page.Submit","condicion_OTHER_28","reward_2_28","dificultad_easy_28","esfuerzo_65_28","X28_fail_feedback_timing_Page.Submit","condicion_OTHER_29","reward_6_29","dificultad_easy_29","esfuerzo_65_29","X29_fail_feedback_timing_Page.Submit","condicion_OTHER_30","dificultad_easy_30","esfuerzo_65_30","X30_fail_feedback_timing_Page.Submit","condicion_OTHER_31","reward_2_31","dificultad_hard_31","esfuerzo_80_31","X31_fail_feedback_timing_Page.Submit","condicion_OTHER_32","reward_6_32","dificultad_hard_32","esfuerzo_80_32","X32_fail_feedback_timing_Page.Submit","condicion_OTHER_33","dificultad_hard_33","esfuerzo_80_33","X33_fail_feedback_timing_Page.Submit","condicion_OTHER_34","reward_2_34","dificultad_hard_34","esfuerzo_95_34","X34_fail_feedback_timing_Page.Submit","condicion_OTHER_35","reward_6_35","dificultad_hard_35","esfuerzo_95_35","X35_fail_feedback_timing_Page.Submit","condicion_OTHER_36","dificultad_hard_36","esfuerzo_95_36","X36_fail_feedback_timing_Page.Submit","condicion_OTHER_37","reward_2_37","dificultad_easy_37","esfuerzo_50_37","X37_fail_feedback_timing_Page.Submit","condicion_OTHER_38","reward_6_38","dificultad_easy_38","esfuerzo_50_38","X38_fail_feedback_timing_Page.Submit","condicion_OTHER_39","dificultad_easy_39","esfuerzo_50_39","X39_fail_feedback_timing_Page.Submit","condicion_OTHER_40","reward_2_40","dificultad_easy_40","esfuerzo_65_40","X40_fail_feedback_timing_Page.Submit","condicion_OTHER_41","reward_6_41","dificultad_easy_41","esfuerzo_65_41","X41_fail_feedback_timing_Page.Submit","condicion_OTHER_42","dificultad_easy_42","esfuerzo_65_42","X42_fail_feedback_timing_Page.Submit","condicion_OTHER_43","reward_2_43","dificultad_hard_43","esfuerzo_80_43","X43_fail_feedback_timing_Page.Submit","condicion_OTHER_44","reward_6_44","dificultad_hard_44","esfuerzo_80_44","X44_fail_feedback_timing_Page.Submit","condicion_OTHER_45","dificultad_hard_45","esfuerzo_80_45","X45_fail_feedback_timing_Page.Submit","condicion_OTHER_46","reward_2_46","dificultad_hard_46","esfuerzo_95_46","X46_fail_feedback_timing_Page.Submit","condicion_OTHER_47","reward_6_47","dificultad_hard_47","esfuerzo_95_47","X47_fail_feedback_timing_Page.Submit","condicion_OTHER_48","dificultad_hard_48","esfuerzo_95_48","X48_fail_feedback_timing_Page.Submit"
"1","3771","Vulnerable",NA,NA,0,NA,1,1,1,1,NA,1,1,1,1,NA,2,2,2,2,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,1,1,1,0,1,1,2,1,1,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,0,0,0,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,2,2,2,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,0,0,0,0,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA
"2","4436","Vulnerable",NA,NA,0,NA,1,1,1,1,1,1,1,1,1,1,0,0,0,0,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,NA,2,2,2,2,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1.014,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1.113,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"3","4336","Vulnerable",NA,NA,0,4,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,0,0,0,0,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,2,2,1,0,2,0,2,0,1,1,1,1,1,NA,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,NA,1,1,1,1,NA,2,2,2,NA,2,2,2,2,NA,0,0,0,0,NA,2,2,2,NA,0,0,0,0,NA,2,2,2,2,NA,1,1,1,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,NA,2,2,2,2,NA,0,0,0,0,NA,2,2,2,NA,0,0,0,0,NA,1,1,1,1,NA,0,0,0,NA,2,2,2,2,NA,0,0,0,0,NA,2,2,2,NA,0,0,0,0,NA,1,1,1,1,1,0,0,0,NA
"4","0849","Vulnerable",NA,NA,0,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,0,0,0,0,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,1,1,1,1,NA,1,1,1,1,NA,0,0,0,0,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,0,0,0,0,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA
"5","2411","Vulnerable",3,2,1,4,1,1,1,1,NA,1,1,1,1,1,0,0,0,0,NA,1,1,1,1,NA,0,0,0,0,NA,1,1,1,1,NA,1,1,1,1,NA,0,0,0,0,NA,2,2,2,2,NA,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,NA,0,0,0,0,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,2,2,2,2,NA,1,1,1,1,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,2,2,2,2,NA,1,1,1,NA,0,0,0,0,NA,1,1,1,1,NA,0,0,0,NA,1,1,1,1,NA,0,0,0,0,NA,1,1,1,NA,1,1,1,1,NA,0,0,0,0,NA,0,0,0,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA
"6","4883","Vulnerable",NA,NA,0,4,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,0,0,0,0,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,2,1,1,1,0,1,0,1,2,0,1,2,0,NA,1,1,1,1,1,2,2,2,NA,2,2,2,2,1.112,0,0,0,0,NA,1,1,1,NA,0,0,0,0,NA,1,1,1,1,NA,1,1,1,1,2,2,2,2,1.113,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,2,2,2,2,NA,0,0,0,NA,0,0,0,0,NA,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,NA,0,0,0,NA,0,0,0,0,NA,2,2,2,2,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,2,2,2,1.115,0,0,0,0,NA,1,1,1,1,NA,0,0,0,NA,2,2,2,2,NA,0,0,0,0,NA,1,1,1,NA,0,0,0,0,NA,1,1,1,1,NA,2,2,2,NA,2,2,2,2,NA,2,2,2,2,NA,0,0,0,NA
"7","7047","Vulnerable",NA,NA,0,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,0,0,0,0,NA,1,1,1,1,NA,1,1,1,1,NA,0,0,0,0,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,0,0,0,0,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,0,0,0,0,NA,0,0,0,0,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,0,0,0,0,NA,1,1,1,1,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,0,0,0,0,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,0,0,0,0,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,0,0,0,NA
"8","1423","Vulnerable",NA,NA,0,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,0,0,0,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,2,2,2,2,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA
"9","9585","Vulnerable",NA,NA,0,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA
"10","8228","Vulnerable",NA,NA,0,NA,1,1,1,1,NA,2,2,2,2,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,2,2,2,2,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,2,2,2,2,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,2,2,2,2,NA,2,2,2,2,NA,1,1,1,NA,2,2,2,2,NA,2,2,2,2,NA,2,2,2,NA,1,1,1,1,NA,1,1,1,1,NA,2,2,2,NA,2,2,2,2,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,2,2,2,2,NA,1,1,1,NA,2,2,2,2,NA,2,2,2,2,NA,2,2,2,NA,1,1,1,1,NA,1,1,1,1,NA,2,2,2,NA
