"","sub","decision","reward","effort","agent","success","grupo"
"1","0129",1,1,1,0,0,0
"2","0129",1,2,1,0,0,0
"3","0129",1,3,1,0,0,0
"4","0129",1,1,2,0,0,0
"5","0129",1,2,2,0,0,0
"6","0129",1,3,2,0,0,0
"7","0129",0,1,3,0,0,0
"8","0129",1,2,3,0,0,0
"9","0129",1,3,3,0,0,0
"10","0129",0,1,4,0,0,0
"11","0129",1,2,4,0,0,0
"12","0129",1,3,4,0,0,0
"13","0129",1,1,1,0,0,0
"14","0129",1,2,1,0,0,0
"15","0129",1,3,1,0,0,0
"16","0129",1,1,2,0,0,0
"17","0129",1,2,2,0,0,0
"18","0129",1,3,2,0,0,0
"19","0129",1,1,3,0,0,0
"20","0129",1,2,3,0,1,0
"21","0129",1,3,3,0,0,0
"22","0129",1,1,4,0,1,0
"23","0129",1,2,4,0,1,0
"24","0129",1,3,4,0,0,0
"25","0129",0,1,1,1,0,0
"26","0129",1,2,1,1,0,0
"27","0129",0,3,1,1,0,0
"28","0129",0,1,2,1,0,0
"29","0129",0,2,2,1,0,0
"30","0129",0,3,2,1,0,0
"31","0129",0,1,3,1,0,0
"32","0129",2,2,3,1,0,0
"33","0129",0,3,3,1,0,0
"34","0129",2,1,4,1,0,0
"35","0129",2,2,4,1,0,0
"36","0129",0,3,4,1,0,0
"37","0129",2,1,1,1,0,0
"38","0129",0,2,1,1,0,0
"39","0129",2,3,1,1,0,0
"40","0129",2,1,2,1,0,0
"41","0129",2,2,2,1,0,0
"42","0129",2,3,2,1,0,0
"43","0129",2,1,3,1,0,0
"44","0129",2,2,3,1,0,0
"45","0129",2,3,3,1,0,0
"46","0129",2,1,4,1,0,0
"47","0129",2,2,4,1,0,0
"48","0129",2,3,4,1,0,0
"49","0155",1,1,1,0,0,0
"50","0155",1,2,1,0,0,0
"51","0155",1,3,1,0,0,0
"52","0155",1,1,2,0,0,0
"53","0155",1,2,2,0,0,0
"54","0155",1,3,2,0,0,0
"55","0155",1,1,3,0,0,0
"56","0155",1,2,3,0,0,0
"57","0155",1,3,3,0,0,0
"58","0155",1,1,4,0,0,0
"59","0155",1,2,4,0,0,0
"60","0155",1,3,4,0,0,0
"61","0155",1,1,1,0,0,0
"62","0155",1,2,1,0,0,0
"63","0155",1,3,1,0,0,0
"64","0155",1,1,2,0,0,0
"65","0155",1,2,2,0,0,0
"66","0155",1,3,2,0,0,0
"67","0155",1,1,3,0,0,0
"68","0155",1,2,3,0,0,0
"69","0155",1,3,3,0,0,0
"70","0155",1,1,4,0,0,0
"71","0155",1,2,4,0,0,0
"72","0155",1,3,4,0,0,0
"73","0155",1,1,1,1,0,0
"74","0155",1,2,1,1,0,0
"75","0155",1,3,1,1,0,0
"76","0155",1,1,2,1,0,0
"77","0155",1,2,2,1,0,0
"78","0155",1,3,2,1,0,0
"79","0155",1,1,3,1,0,0
"80","0155",1,2,3,1,0,0
"81","0155",0,3,3,1,0,0
"82","0155",1,1,4,1,0,0
"83","0155",0,2,4,1,0,0
"84","0155",1,3,4,1,0,0
"85","0155",1,1,1,1,0,0
"86","0155",1,2,1,1,0,0
"87","0155",1,3,1,1,0,0
"88","0155",1,1,2,1,0,0
"89","0155",1,2,2,1,0,0
"90","0155",2,3,2,1,0,0
"91","0155",1,1,3,1,0,0
"92","0155",1,2,3,1,0,0
"93","0155",1,3,3,1,0,0
"94","0155",1,1,4,1,1,0
"95","0155",1,2,4,1,0,0
"96","0155",1,3,4,1,0,0
"97","0332",1,1,1,0,0,1
"98","0332",1,2,1,0,0,1
"99","0332",1,3,1,0,0,1
"100","0332",1,1,2,0,0,1
"101","0332",1,2,2,0,0,1
"102","0332",1,3,2,0,0,1
"103","0332",1,1,3,0,0,1
"104","0332",1,2,3,0,0,1
"105","0332",1,3,3,0,0,1
"106","0332",1,1,4,0,0,1
"107","0332",1,2,4,0,0,1
"108","0332",1,3,4,0,0,1
"109","0332",1,1,1,0,0,1
"110","0332",1,2,1,0,0,1
"111","0332",1,3,1,0,0,1
"112","0332",1,1,2,0,0,1
"113","0332",1,2,2,0,0,1
"114","0332",1,3,2,0,0,1
"115","0332",1,1,3,0,0,1
"116","0332",1,2,3,0,0,1
"117","0332",1,3,3,0,1,1
"118","0332",1,1,4,0,0,1
"119","0332",1,2,4,0,0,1
"120","0332",1,3,4,0,0,1
"121","0332",1,1,1,1,0,1
"122","0332",1,2,1,1,0,1
"123","0332",1,3,1,1,0,1
"124","0332",1,1,2,1,0,1
"125","0332",1,2,2,1,0,1
"126","0332",1,3,2,1,0,1
"127","0332",0,1,3,1,0,1
"128","0332",1,2,3,1,0,1
"129","0332",2,3,3,1,0,1
"130","0332",1,1,4,1,0,1
"131","0332",1,2,4,1,1,1
"132","0332",1,3,4,1,0,1
"133","0332",1,1,1,1,0,1
"134","0332",0,2,1,1,0,1
"135","0332",0,3,1,1,0,1
"136","0332",0,1,2,1,0,1
"137","0332",2,2,2,1,0,1
"138","0332",1,3,2,1,0,1
"139","0332",0,1,3,1,0,1
"140","0332",0,2,3,1,0,1
"141","0332",1,3,3,1,0,1
"142","0332",1,1,4,1,1,1
"143","0332",1,2,4,1,0,1
"144","0332",2,3,4,1,0,1
"145","0548",1,1,1,0,0,0
"146","0548",2,2,1,0,0,0
"147","0548",1,3,1,0,0,0
"148","0548",1,1,2,0,0,0
"149","0548",1,2,2,0,0,0
"150","0548",1,3,2,0,0,0
"151","0548",1,1,3,0,0,0
"152","0548",1,2,3,0,0,0
"153","0548",1,3,3,0,0,0
"154","0548",1,1,4,0,1,0
"155","0548",1,2,4,0,1,0
"156","0548",1,3,4,0,0,0
"157","0548",1,1,1,0,0,0
"158","0548",1,2,1,0,0,0
"159","0548",1,3,1,0,0,0
