"","ID_check","trail","Choise","effort","reward","condition","GRUPO"
"1","1304",1,1,1,1,0,1
"2","1304",2,1,1,2,0,1
"3","1304",3,1,1,3,0,1
"4","1304",4,1,2,1,0,1
"5","1304",5,1,2,2,0,1
"6","1304",6,0,2,3,0,1
"7","1304",7,1,3,1,0,1
"8","1304",9,1,3,3,0,1
"9","1304",10,1,4,1,0,1
"10","1304",11,1,4,2,0,1
"11","1304",12,1,4,3,0,1
"12","1304",13,0,1,1,1,1
"13","1304",14,1,1,2,1,1
"14","1304",15,1,1,3,1,1
"15","1304",16,1,2,1,1,1
"16","1304",17,0,2,2,1,1
"17","1304",18,1,2,3,1,1
"18","1304",19,1,3,1,1,1
"19","1304",20,1,3,2,1,1
"20","1304",21,1,3,3,1,1
"21","1304",22,1,4,1,1,1
"22","1304",23,1,4,2,1,1
"23","1304",24,1,4,3,1,1
"24","1304",25,1,1,1,0,1
"25","1304",26,1,1,2,0,1
"26","1304",28,1,2,1,0,1
"27","1304",29,1,2,2,0,1
"28","1304",30,1,2,3,0,1
"29","1304",31,1,3,1,0,1
"30","1304",33,1,3,3,0,1
"31","1304",34,1,4,1,0,1
"32","1304",35,1,4,2,0,1
"33","1304",36,1,4,3,0,1
"34","1304",37,1,1,1,1,1
"35","1304",38,0,1,2,1,1
"36","1304",39,1,1,3,1,1
"37","1304",40,1,2,1,1,1
"38","1304",41,1,2,2,1,1
"39","1304",42,1,2,3,1,1
"40","1304",43,0,3,1,1,1
"41","1304",44,1,3,2,1,1
"42","1304",45,1,3,3,1,1
"43","1304",46,1,4,1,1,1
"44","1304",47,1,4,2,1,1
"45","1304",48,1,4,3,1,1
"46","3771",1,1,1,1,0,1
"47","3771",2,1,1,2,0,1
"48","3771",3,0,1,3,0,1
"49","3771",4,1,2,1,0,1
"50","3771",5,1,2,2,0,1
"51","3771",6,1,2,3,0,1
"52","3771",7,1,3,1,0,1
"53","3771",8,1,3,2,0,1
"54","3771",9,1,3,3,0,1
"55","3771",10,1,4,1,0,1
"56","3771",11,1,4,2,0,1
"57","3771",12,1,4,3,0,1
"58","3771",13,1,1,1,1,1
"59","3771",14,1,1,2,1,1
"60","3771",15,1,1,3,1,1
"61","3771",16,1,2,1,1,1
"62","3771",17,1,2,2,1,1
"63","3771",18,0,2,3,1,1
"64","3771",19,1,3,1,1,1
"65","3771",20,1,3,2,1,1
"66","3771",21,1,3,3,1,1
"67","3771",22,1,4,1,1,1
"68","3771",23,1,4,2,1,1
"69","3771",24,1,4,3,1,1
"70","3771",25,1,1,1,0,1
"71","3771",26,1,1,2,0,1
"72","3771",27,1,1,3,0,1
"73","3771",28,1,2,1,0,1
"74","3771",29,1,2,2,0,1
"75","3771",30,1,2,3,0,1
"76","3771",31,1,3,1,0,1
"77","3771",32,1,3,2,0,1
"78","3771",34,1,4,1,0,1
"79","3771",35,1,4,2,0,1
"80","3771",36,1,4,3,0,1
"81","3771",37,1,1,1,1,1
"82","3771",38,1,1,2,1,1
"83","3771",39,1,1,3,1,1
"84","3771",40,1,2,1,1,1
"85","3771",42,1,2,3,1,1
"86","3771",43,1,3,1,1,1
"87","3771",44,1,3,2,1,1
"88","3771",45,1,3,3,1,1
"89","3771",46,1,4,1,1,1
"90","3771",47,1,4,2,1,1
"91","3771",48,1,4,3,1,1
"92","4436",1,1,1,1,0,1
"93","4436",2,1,1,2,0,1
"94","4436",4,1,2,1,0,1
"95","4436",5,1,2,2,0,1
"96","4436",6,1,2,3,0,1
"97","4436",7,0,3,1,0,1
"98","4436",8,0,3,2,0,1
"99","4436",9,1,3,3,0,1
"100","4436",10,1,4,1,0,1
"101","4436",11,1,4,2,0,1
"102","4436",12,1,4,3,0,1
"103","4436",13,1,1,1,1,1
"104","4436",14,1,1,2,1,1
"105","4436",15,1,1,3,1,1
"106","4436",16,1,2,1,1,1
"107","4436",17,1,2,2,1,1
"108","4436",18,0,2,3,1,1
"109","4436",19,1,3,1,1,1
"110","4436",20,1,3,2,1,1
"111","4436",21,1,3,3,1,1
"112","4436",22,0,4,1,1,1
"113","4436",23,1,4,2,1,1
"114","4436",24,1,4,3,1,1
"115","4436",25,1,1,1,0,1
"116","4436",26,1,1,2,0,1
"117","4436",27,1,1,3,0,1
"118","4436",28,1,2,1,0,1
"119","4436",29,1,2,2,0,1
"120","4436",30,1,2,3,0,1
"121","4436",31,1,3,1,0,1
"122","4436",32,1,3,2,0,1
"123","4436",33,1,3,3,0,1
"124","4436",34,1,4,1,0,1
"125","4436",35,1,4,2,0,1
"126","4436",36,1,4,3,0,1
"127","4436",37,1,1,1,1,1
"128","4436",38,1,1,2,1,1
"129","4436",39,1,1,3,1,1
"130","4436",40,1,2,1,1,1
"131","4436",41,1,2,2,1,1
"132","4436",42,1,2,3,1,1
"133","4436",43,1,3,1,1,1
"134","4436",44,1,3,2,1,1
"135","4436",45,1,3,3,1,1
"136","4436",46,1,4,1,1,1
"137","4436",47,1,4,2,1,1
"138","4436",48,1,4,3,1,1
"139","2411",1,1,1,1,0,1
"140","2411",2,1,1,2,0,1
"141","2411",4,1,2,1,0,1
"142","2411",6,1,2,3,0,1
"143","2411",7,1,3,1,0,1
"144","2411",9,0,3,3,0,1
"145","2411",10,1,4,1,0,1
"146","2411",12,1,4,3,0,1
